"","Max_AADT","Min_AADT","kabco","year"
"1",45500,45500,10,2
"2",55000,55000,6,2
"3",59133,59133,5,2
"4",17900,17900,7,2
"5",9700,9700,0,2
"6",28500,6000,12,2
"7",18939,2900,13,2
"8",47000,47000,7,2
"9",23500,23500,0,2
"10",49500,49500,29,2
"11",22500,1000,1,2
"12",28500,28500,22,2
"13",40500,40500,16,2
"14",52000,52000,26,2
"15",12900,12900,7,2
"16",14500,7500,5,2
"17",33000,33000,2,2
"18",11000,11000,10,2
"19",40500,40500,0,2
"20",28500,28500,1,2
"21",44500,44500,22,2
"22",26500,26500,9,2
"23",3800,2000,3,2
"24",23000,23000,2,2
"25",13500,2300,3,2
"26",39000,39000,18,2
"27",53500,53500,9,2
"28",24000,24000,1,2
"29",33500,33500,2,2
"30",38500,38500,4,2
"31",13000,8600,1,2
"32",10300,1400,2,2
"33",12500,11000,5,2
"34",48500,48500,15,2
"35",6600,2500,1,2
"36",29000,29000,10,2
"37",21500,5500,23,2
"38",17000,3500,1,2
"39",9400,2300,1,2
"40",12400,4500,9,2
"41",32500,24000,7,2
"42",14800,14800,6,2
"43",22000,1900,2,2
"44",15200,10900,9,2
"45",16800,5600,3,2
"46",59000,19900,14,2
"47",15300,6900,20,2
"48",19100,19100,10,2
"49",23500,23500,2,2
"50",13900,7300,5,2
"51",34000,34000,5,2
"52",47000,47000,8,2
"53",30500,30500,11,2
"54",7600,2100,5,2
"55",34000,34000,7,2
"56",7400,4800,2,2
"57",24500,24500,4,2
"58",16500,16000,4,2
"59",13800,7000,7,2
"60",23500,5400,2,2
"61",26500,1500,4,2
"62",49500,49500,2,2
"63",24500,24500,12,2
"64",33000,33000,10,2
"65",36000,36000,17,2
"66",28500,28500,2,2
"67",41000,8900,13,2
"68",11800,3100,3,2
"69",6700,1400,3,2
"70",28000,28000,14,2
"71",33000,7500,1,2
"72",19500,19500,18,2
"73",24500,22000,15,2
"74",19632,19632,2,2
"75",23500,850,13,2
"76",35500,35500,13,2
"77",20971,1100,1,2
"78",22000,7000,20,2
"79",30500,30500,8,2
"80",15500,15500,1,2
"81",12700,5900,0,2
"82",73500,73500,10,2
"83",24500,24500,3,2
"84",13000,13000,6,2
"85",30500,30500,14,2
"86",26500,26500,3,2
"87",19900,19900,10,2
"88",31000,31000,19,2
"89",21000,21000,11,2
"90",11900,1300,1,2
"91",28500,28500,1,2
"92",32441,32441,3,2
"93",51000,51000,11,2
"94",19000,3100,16,2
"95",25500,25500,16,2
"96",40000,40000,5,2
"97",47500,47500,27,2
"98",10000,9100,3,2
"99",34000,5100,7,2
"100",30000,30000,2,2
"101",30500,13800,19,2
"102",34000,12100,1,2
"103",100000,10500,9,2
"104",7100,7100,0,2
"105",44000,44000,4,2
"106",38500,38500,13,2
"107",19000,19000,5,2
"108",32000,32000,1,2
"109",26000,26000,8,2
"110",17300,17300,3,2
"111",33000,33000,19,2
"112",37000,4600,18,2
"113",11800,2100,7,2
"114",33000,33000,8,2
"115",31000,31000,4,2
"116",48500,48500,9,2
"117",43500,43500,2,2
"118",15500,3000,4,2
"119",12500,3300,19,2
"120",29000,29000,4,2
"121",52500,52500,14,2
"122",27000,27000,4,2
"123",37500,37500,17,2
"124",20100,20100,5,2
"125",39000,5800,13,2
"126",18300,18300,5,2
"127",36921,2900,16,2
"128",12900,12900,7,2
"129",44500,44000,45,2
"130",114500,8800,1,2
"131",18900,18900,8,2
"132",36552,5100,8,2
"133",35000,35000,3,2
"134",54000,54000,2,2
"135",26500,6100,2,2
"136",24500,2300,3,2
"137",19300,4100,4,2
"138",36000,36000,5,2
"139",24000,24000,3,2
"140",18900,18900,7,2
"141",37000,10100,8,2
"142",20200,2700,4,2
"143",13000,13000,1,2
"144",6100,1100,1,2
"145",12000,9525,2,2
"146",22000,6700,5,2
"147",21000,21000,15,2
"148",10500,6100,3,2
"149",28000,28000,16,2
"150",41500,2100,3,2
"151",22000,22000,9,2
"152",35587,35587,8,2
"153",84500,4000,14,2
"154",8800,8800,0,2
"155",51000,51000,1,2
"156",35500,28000,5,2
"157",37500,6400,15,2
"158",37000,37000,4,2
"159",83000,3100,55,2
"160",34500,34500,25,2
"161",54000,54000,26,2
"162",23000,9700,23,2
"163",17500,17500,10,2
"164",47500,47500,16,2
"165",36000,36000,34,2
"166",30000,3700,5,2
"167",16000,1800,4,2
"168",31000,31000,3,2
"169",25000,25000,2,2
"170",38500,12000,17,2
"171",16700,16700,33,2
"172",41000,11500,19,2
"173",24000,24000,8,2
"174",17500,17500,8,2
"175",14600,3000,21,2
"176",33500,33500,8,2
"177",114500,9800,2,2
"178",11100,1400,5,2
"179",17600,17600,6,2
"180",19900,6000,5,2
"181",19100,4000,8,2
"182",13800,13800,4,2
"183",31500,28500,3,2
"184",30000,30000,5,2
"185",11200,1000,2,2
"186",23000,23000,0,2
"187",27000,27000,3,2
"188",10500,1900,8,2
"189",11500,11500,1,2
"190",22000,3900,13,2
"191",10400,2800,7,2
"192",44500,44500,9,2
"193",6700,2100,4,2
"194",6500,6500,5,2
"195",27000,27000,23,2
"196",28000,17100,12,2
"197",19900,5000,18,2
"198",15000,15000,2,2
"199",22500,2500,3,2
"200",15800,9800,4,2
"201",33500,33500,4,2
"202",32499,26000,19,2
"203",11900,3200,6,2
"204",32000,32000,1,2
"205",21500,2600,14,2
"206",39000,1400,11,2
"207",15500,3300,4,2
"208",25000,25000,4,2
"209",28000,28000,8,2
"210",19700,19700,7,2
"211",9600,2700,0,2
"212",29500,700,6,2
"213",25000,25000,0,2
"214",25500,25500,1,2
"215",28000,28000,3,2
"216",41500,41500,5,2
"217",37701,1500,3,2
"218",37500,37500,20,2
"219",51500,51500,2,2
"220",149000,20000,43,2
"221",32000,32000,4,2
"222",20500,9400,3,2
"223",10400,1900,4,2
"224",56500,1700,7,2
"225",30500,2100,30,2
"226",6200,6200,4,2
"227",19300,3700,0,2
"228",22000,5800,11,2
