"","Max_AADT","Min_AADT","kabco","year"
"1",49000,49000,13,2
"2",50500,50500,17,2
"3",60683,60683,0,2
"4",21000,21000,1,2
"5",8300,8300,3,2
"6",30000,30000,28,2
"7",16092,16092,4,2
"8",50500,50500,4,2
"9",16555,16555,0,2
"10",52500,52500,11,2
"11",23500,1500,3,2
"12",30000,30000,6,2
"13",44000,44000,6,2
"14",63500,63500,8,2
"15",10700,10700,3,2
"16",12600,12600,3,2
"17",34500,34500,1,2
"18",11100,2575,21,2
"19",45000,45000,6,2
"20",17200,17200,2,2
"21",43500,43500,8,2
"22",29000,29000,1,2
"23",3400,3400,5,2
"24",23500,23500,5,2
"25",15000,1416,11,2
"26",30500,30500,10,2
"27",58500,58500,2,2
"28",28000,28000,1,2
"29",15200,15200,1,2
"30",46000,46000,0,2
"31",17100,9200,1,2
"32",14000,14000,2,2
"33",14200,14200,4,2
"34",50000,50000,10,2
"35",5900,3400,6,2
"36",35500,35500,1,2
"37",8500,8500,1,2
"38",22500,3200,4,2
"39",10800,4470,6,2
"40",14400,14400,8,2
"41",22500,20254,4,2
"42",13000,13000,3,2
"43",24500,3700,15,2
"44",14000,14000,11,2
"45",13600,13600,10,2
"46",30000,16555,7,2
"47",15700,3902,14,2
"48",22000,22000,0,2
"49",16555,16555,0,2
"50",11000,5860,3,2
"51",31500,31500,0,2
"52",47500,47500,0,2
"53",19700,19700,2,2
"54",7100,7100,2,2
"55",31500,31500,3,2
"56",9200,3244,10,2
"57",24500,24500,0,2
"58",18000,18000,1,2
"59",14100,14100,5,2
"60",46010,46010,1,2
"61",29000,1402,8,2
"62",49000,49000,0,2
"63",23000,23000,10,2
"64",35000,35000,6,2
"65",48000,48000,16,2
"66",17200,17200,4,2
"67",30000,4200,16,2
"68",12500,12500,0,2
"69",6800,3481,5,2
"70",29000,29000,22,2
"71",30500,30500,0,2
"72",21000,21000,22,2
"73",17900,17900,8,2
"74",20888,20888,7,2
"75",23500,23500,12,2
"76",37500,37500,3,2
"77",22859,2548,3,2
"78",17900,2328,3,2
"79",24000,24000,6,2
"80",14100,14100,0,2
"81",14200,14200,4,2
"82",63000,63000,5,2
"83",30500,30500,3,2
"84",22225,22225,0,2
"85",42000,42000,8,2
"86",25500,25500,5,2
"87",16555,16555,0,2
"88",37000,37000,12,2
"89",17600,17600,11,2
"90",17400,17400,7,2
"91",19500,19500,9,2
"92",38000,38000,9,2
"93",41500,41500,20,2
"94",18300,18300,9,2
"95",32000,32000,8,2
"96",40000,40000,2,2
"97",38000,38000,17,2
"98",9100,9100,0,2
"99",40000,40000,13,2
"100",29500,29500,5,2
"101",12800,12800,9,2
"102",31500,31500,0,2
"103",110500,21542,2,2
"104",6900,6900,0,2
"105",39500,39500,0,2
"106",46000,46000,9,2
"107",21500,21500,5,2
"108",44000,44000,5,2
"109",31000,31000,11,2
"110",17400,17400,7,2
"111",27500,27500,4,2
"112",43000,3765,21,2
"113",11100,11100,11,2
"114",34500,34500,11,2
"115",31000,31000,2,2
"116",55500,55500,5,2
"117",56500,56500,4,2
"118",13500,13500,4,2
"119",7000,7000,16,2
"120",32500,32500,8,2
"121",66500,66500,31,2
"122",29000,29000,2,2
"123",31500,31500,36,2
"124",14400,14400,12,2
"125",42500,4495,25,2
"126",18900,18900,16,2
"127",39121,21000,8,2
"128",10700,10700,2,2
"129",39500,39500,15,2
"130",91000,91000,2,2
"131",21000,21000,2,2
"132",40064,13682,6,2
"133",34500,34500,0,2
"134",42500,42500,3,2
"135",23500,23500,2,2
"136",27000,27000,6,2
"137",25000,25000,3,2
"138",37500,37500,5,2
"139",25500,25500,2,2
"140",62231,62231,6,2
"141",41000,41000,4,2
"142",18600,18600,5,2
"143",17100,17100,0,2
"144",885,885,0,2
"145",8600,8600,11,2
"146",30500,30500,1,2
"147",26500,26500,33,2
"148",8300,8300,2,2
"149",35500,35500,0,2
"150",41000,10300,1,2
"151",30500,30500,14,2
"152",31823,31823,4,2
"153",74500,31157,6,2
"154",9300,9300,4,2
"155",59000,59000,2,2
"156",18200,18200,10,2
"157",29500,29500,9,2
"158",63000,8996,12,2
"159",39500,28000,14,2
"160",27500,27500,4,2
"161",55000,55000,24,2
"162",21000,21000,12,2
"163",16400,16400,1,2
"164",38000,38000,16,2
"165",37500,37500,8,2
"166",34500,3200,10,2
"167",19200,19200,1,2
"168",35500,35500,2,2
"169",24500,24500,13,2
"170",38500,4812,32,2
"171",16200,16200,39,2
"172",49000,49000,12,2
"173",27000,27000,6,2
"174",16400,16400,8,2
"175",18100,18100,1,2
"176",29000,29000,2,2
"177",91000,91000,0,2
"178",13700,13700,1,2
"179",17800,17800,23,2
"180",22834,16555,0,2
"181",22000,22000,2,2
"182",13800,13800,3,2
"183",35500,33000,2,2
"184",34500,34500,8,2
"185",8500,8500,5,2
"186",29500,29500,1,2
"187",31500,31500,12,2
"188",9900,9900,8,2
"189",11500,11500,1,2
"190",24000,24000,4,2
"191",9300,2430,3,2
"192",50000,50000,19,2
"193",885,885,2,2
"194",5100,5100,0,2
"195",25500,25500,20,2
"196",29000,29000,6,2
"197",16555,9633,0,2
"198",16100,16100,0,2
"199",18800,1875,4,2
"200",12500,12500,0,2
"201",34500,34500,0,2
"202",40000,9632,10,2
"203",17400,17400,10,2
"204",39500,39500,0,2
"205",23000,23000,4,2
"206",40500,8400,1,2
"207",5860,5860,0,2
"208",26000,26000,0,2
"209",39500,39500,1,2
"210",18200,18200,1,2
"211",9700,2500,0,2
"212",29582,4800,8,2
"213",32000,32000,0,2
"214",22000,22000,4,2
"215",24000,24000,1,2
"216",43000,43000,7,2
"217",8170,8170,6,2
"218",32000,32000,2,2
"219",53500,53500,9,2
"220",99000,63500,17,2
"221",32500,32500,3,2
"222",11800,10300,1,2
"223",9700,9700,0,2
"224",43000,4653,40,2
"225",42000,6583,25,2
"226",4300,4300,0,2
"227",4600,4600,5,2
"228",44500,44500,0,2
