"","Max_AADT","Min_AADT","kabco","year"
"1",29500,6400,43,10
"2",12500,12000,4,10
"3",14000,2600,26,10
"4",19200,1900,19,10
"5",11300,1600,26,10
"6",1800,800,12,10
"7",6100,450,22,10
"8",8200,4600,20,10
"9",6900,5000,33,10
"10",6515,6515,14,10
"11",4899,750,13,10
"12",4800,4800,0,10
"13",1600,650,0,10
"14",700,400,0,10
"15",1350,450,5,10
"16",2600,950,0,10
"17",700,700,0,10
"18",6000,1900,0,10
"19",10500,4500,0,10
"20",9600,4500,0,10
"21",7100,3100,0,10
"22",30000,2800,0,10
"23",11400,2500,51,10
"24",8300,300,19,10
"25",1900,450,0,10
"26",2300,1200,0,10
"27",6600,1600,0,10
"28",22500,1600,53,10
"29",5700,1800,0,10
"30",31500,1300,51,10
"31",6200,1300,0,10
"32",3600,600,0,10
"33",8600,100,0,10
"34",9700,450,0,10
"35",1750,850,0,10
"36",6800,950,7,10
"37",14900,200,8,10
"38",4000,2600,42,10
"39",1700,700,0,10
"40",3000,700,0,10
"41",20500,2500,6,10
"42",20500,3400,0,10
"43",20500,1300,1,10
"44",20700,1300,12,10
"45",2900,1100,0,10
"46",22500,2700,0,10
"47",11500,2500,0,10
"48",8800,850,0,10
"49",13500,5200,90,10
"50",8400,2400,0,10
"51",2100,1700,0,10
"52",14600,1900,60,10
"53",15000,6800,28,10
"54",6900,3000,2,10
"55",11500,800,7,10
"56",4500,550,0,10
"57",10500,3000,30,10
"58",10700,2500,21,10
"59",10700,4900,39,10
"60",17100,550,43,10
"61",4900,2500,0,10
"62",7000,1700,73,10
"63",2500,300,0,10
"64",26000,1100,32,10
"65",11900,2400,74,10
"66",21500,1400,23,10
"67",20300,700,57,10
"68",9100,100,54,10
"69",2500,1300,0,10
"70",5700,2500,0,10
"71",9800,2500,0,10
"72",2500,1750,0,10
"73",15000,1100,0,10
"74",24000,2700,0,10
"75",2700,2400,0,10
"76",11500,1800,0,10
"77",4300,3300,0,10
"78",2400,1200,0,10
"79",7500,1200,0,10
"80",8900,1800,31,10
"81",7400,250,0,10
"82",1600,250,0,10
"83",3300,2800,0,10
"84",4500,1100,0,10
"85",4700,2800,0,10
"86",7500,450,0,10
"87",10500,1900,15,10
"88",7500,1600,0,10
"89",5700,1900,8,10
"90",18500,900,0,10
"91",7200,1850,0,10
"92",2600,750,0,10
"93",4600,750,0,10
"94",4700,4100,0,10
"95",19800,4700,15,10
"96",13500,1100,8,10
"97",12000,1100,17,10
"98",1400,400,0,10
"99",1050,450,0,10
"100",4200,1050,0,10
"101",2800,1000,0,10
"102",18000,1100,22,10
"103",2000,1100,0,10
"104",16600,750,19,10
"105",4000,1500,0,10
"106",8300,2300,0,10
"107",1600,450,9,10
"108",2500,1300,0,10
"109",2700,650,0,10
"110",6300,3000,0,10
"111",2300,450,4,10
"112",1400,400,0,10
"113",5100,1400,0,10
"114",850,750,0,10
"115",1600,300,0,10
"116",1600,1600,12,10
"117",4900,350,0,10
"118",2300,1600,0,10
"119",2000,900,13,10
"120",3200,500,0,10
"121",950,350,0,10
"122",6000,500,18,10
"123",1200,950,0,10
"124",450,200,0,10
"125",550,450,0,10
"126",3200,450,9,10
"127",2900,400,4,10
"128",300,200,0,10
"129",4900,4100,0,10
"130",1200,350,0,10
"131",1200,350,0,10
"132",1951,400,4,10
"133",3000,2600,0,10
"134",1950,350,2,10
"135",5000,1600,20,10
"136",2100,650,0,10
"137",3200,450,1,10
"138",3100,350,4,10
"139",3500,2000,0,10
"140",3600,1200,7,10
"141",2500,1000,0,10
"142",3600,2000,24,10
"143",10500,2500,11,10
"144",1900,1700,0,10
"145",2500,2000,0,10
"146",2100,350,0,10
"147",1800,450,0,10
"148",350,100,0,10
"149",3800,800,1,10
"150",7300,2500,3,10
"151",5600,2800,0,10
"152",5000,3600,0,10
"153",3000,600,0,10
"154",39500,600,35,10
"155",3000,300,0,10
"156",39000,300,26,10
"157",13400,1300,28,10
"158",27500,600,134,10
"159",6600,1600,5,10
"160",33500,15000,38,10
"161",3900,1200,0,10
"162",30500,1700,29,10
"163",2300,750,6,10
"164",4800,2200,0,10
"165",6300,1200,50,10
"166",5700,1800,0,10
"167",1300,550,20,10
"168",3200,400,3,10
"169",3300,850,0,10
"170",4200,450,0,10
"171",1400,450,0,10
"172",2900,1600,0,10
"173",12000,650,0,10
"174",2000,1800,12,10
"175",2200,1800,0,10
"176",7200,650,0,10
"177",2148,350,4,10
"178",2500,1700,0,10
"179",1800,1200,0,10
"180",3600,1200,0,10
"181",1300,400,0,10
"182",3200,250,0,10
"183",7200,2100,0,10
"184",6400,2500,0,10
"185",3900,500,0,10
"186",1450,400,0,10
"187",3900,3700,10,10
"188",16300,3900,16,10
"189",2600,1600,0,10
"190",2200,1100,8,10
"191",1700,550,3,10
"192",1500,350,4,10
"193",350,250,0,10
"194",16400,1000,26,10
"195",1100,450,0,10
"196",12100,1000,7,10
"197",1600,500,4,10
"198",850,450,0,10
"199",5400,950,4,10
"200",9400,1350,48,10
"201",11500,2600,7,10
"202",3300,2000,0,10
"203",3800,1800,0,10
"204",1600,450,3,10
"205",1000,350,0,10
"206",3200,450,7,10
"207",950,150,0,10
"208",7100,1900,8,10
"209",3300,1550,12,10
"210",10000,1000,14,10
"211",42500,150,38,10
"212",1950,1600,0,10
"213",1800,500,3,10
"214",2400,300,3,10
"215",2600,900,6,10
"216",1900,200,0,10
"217",2900,1250,0,10
"218",1800,300,4,10
"219",1100,200,0,10
"220",450,300,0,10
"221",1505,400,6,10
"222",26000,10400,3,10
"223",26000,3200,35,10
"224",39000,8300,86,10
"225",4400,3000,0,10
"226",7700,6900,0,10
"227",8400,800,0,10
"228",39500,4500,10,10
"229",22000,3300,0,10
"230",25000,4900,19,10
"231",15100,7400,9,10
"232",10500,7400,0,10
"233",11300,50,10,10
"234",29000,4000,32,10
"235",11800,3100,0,10
"236",32000,5100,34,10
"237",18500,15000,62,10
"238",15400,5000,0,10
"239",34500,19700,55,10
"240",23000,3500,0,10
"241",19500,6800,0,10
"242",4600,2900,0,10
"243",7100,2000,0,10
"244",33500,6200,0,10
"245",34500,1300,24,10
"246",10400,1300,0,10
"247",18700,5000,0,10
"248",10000,750,11,10
"249",27904,11100,313,10
"250",9000,1500,14,10
"251",12700,3800,10,10
"252",3800,2600,0,10
"253",22182,6000,25,10
"254",10500,3800,0,10
"255",12200,5900,0,10
"256",14000,12500,0,10
"257",13800,6600,0,10
"258",22182,4100,29,10
"259",8800,1950,0,10
"260",16718,2300,0,10
"261",2300,2300,0,10
"262",16718,4000,0,10
"263",40500,3300,0,10
"264",3300,2000,0,10
"265",23000,2600,0,10
"266",4500,3500,0,10
"267",18200,3500,0,10
"268",6000,1900,0,10
"269",8400,5500,10,10
"270",4400,4100,0,10
"271",15102,400,0,10
"272",9100,5100,0,10
"273",30500,4400,4,10
"274",5600,600,6,10
"275",2900,2600,0,10
"276",3200,2900,0,10
"277",3200,300,0,10
"278",6500,300,7,10
"279",2900,1400,0,10
"280",17000,6500,51,10
"281",2600,2100,0,10
"282",39500,10900,52,10
"283",900,300,0,10
"284",14800,1600,5,10
"285",19200,850,10,10
"286",4600,650,0,10
"287",4600,1900,0,10
"288",7100,450,8,10
"289",1900,1000,0,10
"290",12700,8400,3,10
"291",22000,4100,0,10
"292",3600,1000,2,10
"293",3600,1100,1,10
"294",5200,500,0,10
"295",5200,1000,0,10
"296",4600,4100,0,10
"297",14800,1300,0,10
"298",11500,3500,0,10
"299",14800,2500,0,10
"300",8400,4000,0,10
"301",56000,3900,71,10
