"","kabco"
"1",10
"2",2
"3",2
"4",5
"5",6
"6",2
"7",2
"8",6
"9",1
"10",4
"11",1
"12",0
"13",0
"14",0
"15",1
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",11
"24",3
"25",0
"26",0
"27",0
"28",13
"29",0
"30",7
"31",0
"32",0
"33",0
"34",0
"35",0
"36",3
"37",4
"38",14
"39",0
"40",0
"41",6
"42",0
"43",1
"44",1
"45",0
"46",0
"47",0
"48",0
"49",34
"50",0
"51",0
"52",15
"53",5
"54",0
"55",2
"56",0
"57",8
"58",6
"59",6
"60",11
"61",0
"62",23
"63",0
"64",8
"65",15
"66",3
"67",13
"68",13
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",9
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",3
"88",0
"89",2
"90",0
"91",0
"92",0
"93",0
"94",0
"95",6
"96",0
"97",6
"98",0
"99",0
"100",0
"101",0
"102",5
"103",0
"104",4
"105",0
"106",0
"107",1
"108",0
"109",0
"110",0
"111",2
"112",0
"113",0
"114",0
"115",0
"116",4
"117",0
"118",0
"119",4
"120",0
"121",0
"122",5
"123",0
"124",0
"125",0
"126",2
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",1
"135",8
"136",0
"137",1
"138",1
"139",0
"140",0
"141",0
"142",3
"143",2
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",2
"151",0
"152",0
"153",0
"154",11
"155",0
"156",9
"157",5
"158",40
"159",1
"160",9
"161",0
"162",6
"163",0
"164",0
"165",14
"166",0
"167",5
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",2
"188",4
"189",0
"190",1
"191",0
"192",1
"193",0
"194",1
"195",0
"196",3
"197",1
"198",0
"199",1
"200",4
"201",3
"202",0
"203",0
"204",1
"205",0
"206",0
"207",0
"208",4
"209",1
"210",3
"211",6
"212",0
"213",1
"214",1
"215",2
"216",0
"217",0
"218",1
"219",0
"220",0
"221",1
"222",0
"223",11
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",6
"231",1
"232",0
"233",1
"234",8
"235",0
"236",10
"237",7
"238",0
"239",15
"240",0
"241",0
"242",0
"243",0
"244",0
"245",4
"246",0
"247",0
"248",2
"249",95
"250",5
"251",2
"252",0
"253",5
"254",0
"255",0
"256",0
"257",0
"258",4
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",1
"274",1
"275",0
"276",0
"277",0
"278",1
"279",0
"280",13
"281",0
"282",7
"283",0
"284",1
"285",1
"286",0
"287",0
"288",2
"289",0
"290",1
"291",0
"292",1
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",11
"302",2
"303",0
"304",0
"305",0
"306",2
"307",5
"308",0
"309",0
"310",4
"311",0
"312",0
"313",1
"314",11
"315",0
"316",0
"317",0
"318",0
